"","ref","target","t","match","gold","syn_def","definition","syn_words","syn","pos","id","freq.x","freq.y","synset","target_centrality","ref_centrality","polysemy_target","polysemy_ref","correct","sig","p","corr"
"11","accompany","companion","1852","True","-1","be a companion to somebody","Relate to/Accompany/attend","['company', 'companion', 'accompany', 'keep_company']","Synset('company.v.01')","vt","01.16.01.12","144780","79798","company.v.01","4","4","2","4","0","0","0.969769876154569","0.0107142857142857"
"12","accompanying","concomitant","1864","True","-1","following or accompanying as a consequence","Of/belonging to/characterized by relationship/Accompanying","['attendant', 'consequent', 'accompanying', 'concomitant', 'incidental', 'ensuant', 'resultant', 'sequent']","Synset('attendant.s.02')","adj","01.16.01.12","21659","66487","attendant.s.02","2","5","1","2","1","0","0.647719527985113","-0.134065934065934"
"13","accomplish","attain","1854","True","-1","to gain with effort","Arrive at/reach","['achieve', 'accomplish', 'attain', 'reach']","Synset('achieve.v.01')","vt","03.10.01.07","134362.5","243352.5","achieve.v.01","1","2","4","2","0","1","0.000627350129480358","0.778571428571428"
"14","accord","agree","1928","True","-1","go together","Put in (proper) order/Agree/harmonize/be congruous with/bring into agreement/harmony","['harmonize', 'harmonise', 'consort', 'accord', 'concord', 'fit_in', 'agree']","Synset('harmonize.v.01')","vt","01.16.03.01|07","896158","163396","harmonize.v.01","4","5","7","3","1","0","0.20703125","-0.5"
"15","accost","hook","1958","True","1","approach with an offer of sexual favors","Prostitution/solicit","['hook', 'solicit', 'accost']","Synset('hook.v.12')","vi","03.06.05.07.02.04|02","80976","410","hook.v.12","20","2","10","2",NA,NA,NA,NA
"16","accursed","maledict","1866","True","-1","under a curse","Accursed/spoken of as","['accursed', 'accurst', 'maledict']","Synset('accursed.s.01')","adj","02.03.04|02","1","5693","accursed.s.01","2","2","1","1",NA,NA,NA,NA
"17","accurst","maledict","1866","True","-1","under a curse","Accursed/spoken of as","['accursed', 'accurst', 'maledict']","Synset('accursed.s.01')","adj","02.03.04|02","1","198.5","accursed.s.01","2","1","1","1",NA,NA,NA,NA
"18","ace","top-notch","1900","True","1","of the highest quality","Good/Excellent/very excellent/first-rate","['ace', 'A-one', 'crack', 'first-rate', 'super', 'tiptop', 'topnotch', 'top-notch', 'tops']","Synset('ace.s.01')","adj","02.03.01.06|12",NA,"27347","ace.s.01","1","11","1","3",NA,NA,NA,NA
"19","acerbic","acerb","1872","True","-1","harsh or corrosive in tone","Angry/Sour/bitter/of speech/speaker","['acerb', 'acerbic', 'acid', 'acrid', 'bitter', 'blistering', 'caustic', 'sulfurous', 'sulphurous', 'virulent', 'vitriolic']","Synset('acerb.s.02')","adj","02.04.12.05.05.02|01",NA,"161.5","acerb.s.02","2","2","2","2",NA,NA,NA,NA
"20","ache","yen","1936","True","1","have a desire for something or someone who is not present","Be inclined/Long/yearn","['ache', 'yearn', 'yen', 'pine', 'languish']","Synset('ache.v.02')","vi","02.05.03.03.02","43993","24671","ache.v.02","3","3","1","2","0","0","0.534509228601041","-0.285714285714286"
"21","achieve","attain","1854","True","-1","to gain with effort","Arrive at/reach","['achieve', 'accomplish', 'attain', 'reach']","Synset('achieve.v.01')","vt","03.10.01.07","134362.5","980421.5","achieve.v.01","1","1","4","1","0","1","1.30274897903432e-08","0.960714285714286"
"22","acid","acerb","1872","True","-1","harsh or corrosive in tone","Angry/Sour/bitter/of speech/speaker","['acerb', 'acerbic', 'acid', 'acrid', 'bitter', 'blistering', 'caustic', 'sulfurous', 'sulphurous', 'virulent', 'vitriolic']","Synset('acerb.s.02')","adj","02.04.12.05.05.02|01",NA,"989851","acerb.s.02","2","3","2","2",NA,NA,NA,NA
"23","acquit","bear","1862","True","-1","behave in a certain manner","Organize military affairs/Carry/wear (insignia)","['behave', 'acquit', 'bear', 'deport', 'conduct', 'comport', 'carry']","Synset('behave.v.02')","vt","03.03.09.06","907347.5","4356","behave.v.02","12","2","7","2","1","0","0.418333896198591","-0.235164835164835"
"24","acquit","conduct","1854","True","-1","behave in a certain manner","Behave/bear oneself","['behave', 'acquit', 'bear', 'deport', 'conduct', 'comport', 'carry']","Synset('behave.v.02')","vi","01.15.21","944201.5","4356","behave.v.02","5","2","4","2","1","0","0.0619510067141685","-0.492857142857143"
"25","acrid","acerb","1872","True","-1","harsh or corrosive in tone","Angry/Sour/bitter/of speech/speaker","['acerb', 'acerbic', 'acid', 'acrid', 'bitter', 'blistering', 'caustic', 'sulfurous', 'sulphurous', 'virulent', 'vitriolic']","Synset('acerb.s.02')","adj","02.04.12.05.05.02|01",NA,"2319.5","acerb.s.02","2","2","2","2",NA,NA,NA,NA
"26","activate","trigger","1938","True","1","put in motion or move to act","Undertake/Begin/enter upon (an action)/bring into activity/activate","['trip', 'actuate', 'trigger', 'activate', 'set_off', 'spark_off', 'spark', 'trigger_off', 'touch_off']","Synset('trip.v.04')","vt","01.15.03.02|09","65623.5","24375.5","trip.v.04","4","1","2","5","1","1","0.0373860734684988","0.9"
"27","activate","trigger","1930","True","1","put in motion or move to act","Cause/bring about/trigger/spark","['trip', 'actuate', 'trigger', 'activate', 'set_off', 'spark_off', 'spark', 'trigger_off', 'touch_off']","Synset('trip.v.04')","vt","01.11.03|06","65623.5","24375.5","trip.v.04","4","1","2","5","1","1","0.0373860734684988","0.9"
"28","actual","real","1870","True","-1","being or reflecting the essential or genuine character of something","Of/pertaining to existence/Real/actual/real/pertaining to things","['actual', 'genuine', 'literal', 'real']","Synset('actual.s.03')","adj","01.11.01.02|02","3035301.5","993854.5","actual.s.03","8","3","3","2","1","0","0.13286024415693","-0.43956043956044"
"29","actuate","trigger","1938","True","1","put in motion or move to act","Undertake/Begin/enter upon (an action)/bring into activity/activate","['trip', 'actuate', 'trigger', 'activate', 'set_off', 'spark_off', 'spark', 'trigger_off', 'touch_off']","Synset('trip.v.04')","vt","01.15.03.02|09","65623.5","862","trip.v.04","4","1","2","2","0","1","0.0373860734684987","-0.9"
"30","actuate","trigger","1930","True","1","put in motion or move to act","Cause/bring about/trigger/spark","['trip', 'actuate', 'trigger', 'activate', 'set_off', 'spark_off', 'spark', 'trigger_off', 'touch_off']","Synset('trip.v.04')","vt","01.11.03|06","65623.5","862","trip.v.04","4","1","2","2","0","1","0.0373860734684987","-0.9"
"31","actuate","prompt","1856","True","-1","give an incentive for action","Have motive/incite/instigate","['motivate', 'actuate', 'propel', 'move', 'prompt', 'incite']","Synset('motivate.v.01')","vi","02.05.06|01","94075.5","862","motivate.v.01","3","2","2","2","1","1","0.0424422720870724","-0.683333333333333"
"32","acute","keen","1854","True","-1","having or demonstrating ability to recognize or draw fine distinctions","Pertaining to the Arts/Vigorous/forceful/incisive","['acute', 'discriminating', 'incisive', 'keen', 'knifelike', 'penetrating', 'penetrative', 'piercing', 'sharp']","Synset('acute.s.03')","adj","03.13.03.04.05.05|05","86297","428904","acute.s.03","3","4","2","2","1","1","2.75180639551291e-05","-0.867857142857143"
"33","add","summate","1900","True","1","determine the sum of","Amount to a quantity/Increase by addition/add/add successively","['total', 'tot', 'tot_up', 'sum', 'sum_up', 'summate', 'tote_up', 'add', 'add_together', 'tally', 'add_up']","Synset('total.v.02')","vt","01.16.06.05.01|02.05","6","1339477.5","total.v.02","1","6","2","3",NA,NA,NA,NA
"34","add","summate","1900","True","1","determine the sum of","Perform arithmetic/algebraic operations/add/sum","['total', 'tot', 'tot_up', 'sum', 'sum_up', 'summate', 'tote_up', 'add', 'add_together', 'tally', 'add_up']","Synset('total.v.02')","vt","01.16.04.09|01","6","1339477.5","total.v.02","1","6","2","3",NA,NA,NA,NA
"35","add","summate","1900","True","-1","determine the sum of","Perform arithmetic/algebraic operations/add/sum","['total', 'tot', 'tot_up', 'sum', 'sum_up', 'summate', 'tote_up', 'add', 'add_together', 'tally', 'add_up']","Synset('total.v.02')","vt","01.16.04.09|01","6","1339477.5","total.v.02","1","6","2","3",NA,NA,NA,NA
"36","add","summate","1922","True","1","determine the sum of","Amount to a quantity/Add/make addition/become/make by cumulation","['total', 'tot', 'tot_up', 'sum', 'sum_up', 'summate', 'tote_up', 'add', 'add_together', 'tally', 'add_up']","Synset('total.v.02')","vi","01.16.06.05.01|04","6","1339477.5","total.v.02","1","6","2","3",NA,NA,NA,NA
"37","add_together","summate","1900","True","1","determine the sum of","Amount to a quantity/Increase by addition/add/add successively","['total', 'tot', 'tot_up', 'sum', 'sum_up', 'summate', 'tote_up', 'add', 'add_together', 'tally', 'add_up']","Synset('total.v.02')","vt","01.16.06.05.01|02.05","6",NA,"total.v.02","1","1","2","2",NA,NA,NA,NA
"38","add_together","summate","1900","True","-1","determine the sum of","Perform arithmetic/algebraic operations/add/sum","['total', 'tot', 'tot_up', 'sum', 'sum_up', 'summate', 'tote_up', 'add', 'add_together', 'tally', 'add_up']","Synset('total.v.02')","vt","01.16.04.09|01","6",NA,"total.v.02","1","1","2","2",NA,NA,NA,NA
"39","add_together","summate","1900","True","1","determine the sum of","Perform arithmetic/algebraic operations/add/sum","['total', 'tot', 'tot_up', 'sum', 'sum_up', 'summate', 'tote_up', 'add', 'add_together', 'tally', 'add_up']","Synset('total.v.02')","vt","01.16.04.09|01","6",NA,"total.v.02","1","1","2","2",NA,NA,NA,NA
"40","add_together","summate","1922","True","1","determine the sum of","Amount to a quantity/Add/make addition/become/make by cumulation","['total', 'tot', 'tot_up', 'sum', 'sum_up', 'summate', 'tote_up', 'add', 'add_together', 'tally', 'add_up']","Synset('total.v.02')","vi","01.16.06.05.01|04","6",NA,"total.v.02","1","1","2","2",NA,NA,NA,NA
"41","add_up","summate","1900","True","-1","determine the sum of","Perform arithmetic/algebraic operations/add/sum","['total', 'tot', 'tot_up', 'sum', 'sum_up', 'summate', 'tote_up', 'add', 'add_together', 'tally', 'add_up']","Synset('total.v.02')","vt","01.16.04.09|01","6",NA,"total.v.02","1","2","2","4",NA,NA,NA,NA
"42","add_up","summate","1900","True","1","determine the sum of","Amount to a quantity/Increase by addition/add/add successively","['total', 'tot', 'tot_up', 'sum', 'sum_up', 'summate', 'tote_up', 'add', 'add_together', 'tally', 'add_up']","Synset('total.v.02')","vt","01.16.06.05.01|02.05","6",NA,"total.v.02","1","2","2","4",NA,NA,NA,NA
"43","add_up","summate","1922","True","1","determine the sum of","Amount to a quantity/Add/make addition/become/make by cumulation","['total', 'tot', 'tot_up', 'sum', 'sum_up', 'summate', 'tote_up', 'add', 'add_together', 'tally', 'add_up']","Synset('total.v.02')","vi","01.16.06.05.01|04","6",NA,"total.v.02","1","2","2","4",NA,NA,NA,NA
"44","add_up","summate","1900","True","1","determine the sum of","Perform arithmetic/algebraic operations/add/sum","['total', 'tot', 'tot_up', 'sum', 'sum_up', 'summate', 'tote_up', 'add', 'add_together', 'tally', 'add_up']","Synset('total.v.02')","vt","01.16.04.09|01","6",NA,"total.v.02","1","2","2","4",NA,NA,NA,NA
"45","address","cover","1874","True","-1","act on verbally or in some form of artistic expression","Treat/process textile fabric/print","['cover', 'treat', 'handle', 'plow', 'deal', 'address']","Synset('cover.v.05')","vt","01.08.01.15.03.01.01|08","974014.5","1303639.5","cover.v.05","15","16","18","9","0","0","0.0517706255591626","0.549450549450549"
"46","adjacent","conterminous","1862","True","-1","having a common boundary or edge abutting touching Massachusetts and Conncecticut","Distance/Near/contiguous/meeting another/each other","['adjacent', 'conterminous', 'contiguous', 'neighboring']","Synset('adjacent.s.02')","adj","01.12.01.02|10.03","757","158732.5","adjacent.s.02","2","2","3","3",NA,NA,NA,NA
"47","adjourn","recess","1954","True","1","close at the end of a session","Rule/govern/Chair (an assembly)/adjourn","['adjourn', 'recess', 'break_up']","Synset('adjourn.v.01')","vt","03.04.06.13.09|02","18122","9282","adjourn.v.01","8","1","4","2","0","0","0.284756979865294","-0.6"
"48","adjourn","retire","1852","True","-1","break from a meeting or gathering","Move in a certain direction/Move backwards/retire/withdraw/retreat","['adjourn', 'withdraw', 'retire']","Synset('adjourn.v.02')","v","01.14.05.05|01","75420.5","9282","adjourn.v.02","5","2","11","2","0","0","0.869491525545095","0.0464285714285714"
"49","admittedly","confessedly","1866","True","-1","as acknowledged","Declaratively/Professedly/avowedly","['true', 'admittedly', 'avowedly', 'confessedly']","Synset('true.r.01')","adv","02.07.06.02","991.5","19718","true.r.01","1","1","1","1","0","0","0.610344415645267","0.214285714285714"
"50","adolescent","teenaged","1952","True","1","being of the age 13 through 19","Person/Young person/adolescent","['adolescent', 'teen', 'teenage', 'teenaged']","Synset('adolescent.s.02')","adj","01.04.04.03|03","272","161020.5","adolescent.s.02","1","3","1","1",NA,NA,NA,NA
"51","adoring","fond","1872","True","-1","extravagantly or foolishly loving and indulgent","Loving/Doting/infatuatedly fond/cherished with unreasoning affection","['adoring', 'doting', 'fond']","Synset('adoring.s.02')","adj","02.04.13.06.01|02","113893.5","1830.5","adoring.s.02","2","3","4","1","0","0","0.689309020586362","0.136363636363636"
"52","advance","progress","1856","True","-1","develop in a positive way","Move in a certain direction/Move forward/advance","['progress', 'come_on', 'come_along', 'advance', 'get_on', 'get_along', 'shape_up']","Synset('progress.v.01')","vi","01.14.05.04","1141468","526961","progress.v.01","4","13","3","6","1","0","0.584764094941016","-0.153571428571429"
"53","advance","progress","1874","True","-1","move forward also in the metaphorical sense","Cause to move in a direction/Move/cause to move forward/advance/move (a thing) forward","['advance', 'progress', 'pass_on', 'move_on', 'march_on', 'go_on']","Synset('advance.v.01')","vt","01.14.05.04|05","1141468","526961","advance.v.01","5","7","3","6","1","0","0.223315720292482","-0.362637362637363"
"54","advance","upgrade","1920","True","1","give a promotion to or assign to a higher position","Carry on an occupation/Have career/promote/upgrade","['promote', 'upgrade', 'advance', 'kick_upstairs', 'raise', 'elevate']","Synset('promote.v.02')","vt","03.11.04.01|08","14530.5","526961","promote.v.02","9","15","5","6",NA,NA,NA,NA
"55","advance","progress","1874","True","-1","develop in a positive way","Cause to move in a direction/Move/cause to move forward/advance/move (a thing) forward","['progress', 'come_on', 'come_along', 'advance', 'get_on', 'get_along', 'shape_up']","Synset('progress.v.01')","vt","01.14.05.04|05","1141468","526961","progress.v.01","4","13","3","6","1","0","0.223315720292482","-0.362637362637363"
"56","advance","progress","1856","True","-1","move forward also in the metaphorical sense","Move in a certain direction/Move forward/advance","['advance', 'progress', 'pass_on', 'move_on', 'march_on', 'go_on']","Synset('advance.v.01')","vi","01.14.05.04","1141468","526961","advance.v.01","5","7","3","6","1","0","0.584764094941016","-0.153571428571429"
"57","advertise","promote","1930","True","1","make publicity for try to sell a product","Information/Advertise","['advertise', 'advertize', 'promote', 'push']","Synset('advertise.v.02')","vt","03.09.05.07.02","454223","13793","advertise.v.02","3","2","5","2","1","1","0.0136973266153257","0.857142857142857"
"58","advertize","promote","1930","True","1","make publicity for try to sell a product","Information/Advertise","['advertise', 'advertize', 'promote', 'push']","Synset('advertise.v.02')","vt","03.09.05.07.02","454223","18","advertise.v.02","3","1","5","2",NA,NA,NA,NA
"59","advisory","consultatory","1876","True","-1","giving advice","That judges/Advising/deliberative/consultative","['advisory', 'consultative', 'consultatory', 'consultive']","Synset('advisory.s.01')","adj","02.02.07.04|06",NA,"169978","advisory.s.01","1","2","1","1",NA,NA,NA,NA
"60","affirm","aver","1852","True","-1","to declare or affirm solemnly and formally as true","State/declare/set forth/Assert/affirm","['affirm', 'verify', 'assert', 'avow', 'aver', 'swan', 'swear']","Synset('affirm.v.02')","vi","02.07.06.03","1497","56219","affirm.v.02","2","2","2","3","1","1","5.86793827080346e-07","-0.928571428571428"
"61","affirmative","affirmatory","1860","True","-1","affirming or giving assent","Stating/declaring/setting forth/That asserts/affirms/asseverative/assertive/affirmative/positive","['affirmative', 'affirmatory']","Synset('affirmative.a.01')","adj","02.07.06.03|01","7","108057","affirmative.a.01","1","2","1","1",NA,NA,NA,NA
"62","affluent","loaded","1948","True","1","having an abundant supply of money or possessions of value","Rich/wealthy/very/fabulously","['affluent', 'flush', 'loaded', 'moneyed', 'wealthy']","Synset('affluent.s.01')","adj","02.06.05|02","102384.5","25601.5","affluent.s.01","9","3","3","1","0","0","0.468478134110787","-0.371428571428571"
"63","affright","fright","1868","True","-1","cause fear in","Be afraid of/Frighten","['frighten', 'fright', 'scare', 'affright']","Synset('frighten.v.01')","vt","02.04.21.10","16820.5","1074","frighten.v.01","2","2","1","1","1","1","0.000319071240693711","-0.840659340659341"
"64","afloat","inundated","1874","True","-1","covered with water","Pertaining to water/Flood/flooding/flooded","['afloat', 'awash', 'flooded', 'inundated', 'overflowing']","Synset('afloat.s.03')","adj","01.01.05.09.08|04","3261","10071","afloat.s.03","3","3","1","1","1","0","0.425038154892146","-0.284848484848485"
"65","aforementioned","said","1884","True","-1","being the one previously mentioned or spoken of","Of/pertaining to speech/commenting/mentioning/aforementioned","['aforesaid', 'aforementioned', 'said']","Synset('aforesaid.s.01')","adj","02.07.03|04.02","21963697","17543.5","aforesaid.s.01","12","1","6","1","1","0","0.406397014486386","-0.316666666666667"
"66","aforesaid","said","1884","True","-1","being the one previously mentioned or spoken of","Of/pertaining to speech/commenting/mentioning/aforementioned","['aforesaid', 'aforementioned', 'said']","Synset('aforesaid.s.01')","adj","02.07.03|04.02","21963697","32893.5","aforesaid.s.01","12","1","6","1","1","1","0.0022231354099909","-0.79020979020979"
"67","aghast","appalled","1866","True","-1","struck with fear dread or consternation","Fearful/Dismayed","['aghast', 'appalled', 'dismayed', 'shocked']","Synset('aghast.s.01')","adj","02.04.21.08","18351.5","4582.5","aghast.s.01","5","1","2","1","1","1","0.0146578813272892","-0.635164835164835"
"68","agitate","commove","1868","True","-1","cause to be agitated excited or roused","Move in specific manner/Agitate","['agitate', 'rouse', 'turn_on', 'charge', 'commove', 'excite', 'charge_up']","Synset('agitate.v.02')","vt","01.14.02.03",NA,"3263","agitate.v.02","1","2","2","6",NA,NA,NA,NA
"69","agitate","commove","1850","True","-1","cause to be agitated excited or roused","Excite","['agitate', 'rouse', 'turn_on', 'charge', 'commove', 'excite', 'charge_up']","Synset('agitate.v.02')","vt","02.04.08.01",NA,"3263","agitate.v.02","1","2","2","6",NA,NA,NA,NA
"70","agitate","commove","1868","True","-1","change the arrangement or position of","Move in specific manner/Agitate","['agitate', 'vex', 'disturb', 'commove', 'shake_up', 'stir_up', 'raise_up']","Synset('agitate.v.06')","vt","01.14.02.03",NA,"3263","agitate.v.06","2","6","2","6",NA,NA,NA,NA
"71","aglitter","sparkly","1922","True","1","having brief brilliant points or flashes of light","Light/Pertaining to light emitted in particular manner/glittering/sparkling","['aglitter', 'coruscant', 'fulgid', 'glinting', 'glistering', 'glittering', 'glittery', 'scintillant', 'scintillating', 'sparkly']","Synset('aglitter.s.01')","adj","01.10.08.02|04","55.5","15.5","aglitter.s.01","2","1","2","1",NA,NA,NA,NA
"72","agnise","agnize","1854","True","-1","be fully aware or cognizant of","State/declare/set forth/Acknowledge/recognize/the existence of","['recognize', 'recognise', 'realize', 'realise', 'agnize', 'agnise']","Synset('recognize.v.02')","vt","02.07.06.13|03","11.5",NA,"recognize.v.02","1","1","1","1",NA,NA,NA,NA
"73","agree","check","1928","True","1","be compatible similar or consistent coincide in their characteristics","Come into order/Agree/be in harmony/be congruous/upon comparison","['match', 'fit', 'correspond', 'check', 'jibe', 'gibe', 'tally', 'agree']","Synset('match.v.01')","vi","01.16.03.01|02","942051.5","896158","match.v.01","22","3","19","7","1","1","0.0101755401234568","0.833333333333333"
"74","aim","target","1892","True","-1","intend something to move towards a certain goal","Rail travel/direct/manage a railway engine/specific operations","['target', 'aim', 'place', 'direct', 'point']","Synset('target.v.01')","vt","03.10.04|09.01","379026.5","476140","target.v.01","6","9","3","5","1","1","0.00311042831038585","-0.8"
"75","all_over","everyplace","1928","True","1","to or in any or all places everyplace is used informally for everywhere","As regards place/Here/there, etc./everywhere","['everywhere', 'everyplace', 'all_over']","Synset('everywhere.r.01')","adv","01.12.04.02|09","0",NA,"everywhere.r.01","1","3","1","1",NA,NA,NA,NA
"76","alleviate","assuage","1868","True","-1","provide physical relief as from pain","Manner of action/Make less violent/severe/mitigate/alleviate","['relieve', 'alleviate', 'palliate', 'assuage']","Synset('relieve.v.01')","vt","01.15.20.04|16","3746","40946","relieve.v.01","3","1","3","2","1","1","0.00756225703114549","-0.679120879120879"
"77","alone","only","1856","True","-1","exclusive of anyone or anything else","Pertaining to number/Alone/alone/nothing but","['alone', 'only']","Synset('alone.s.03')","adj","01.16.04.01.01.01|07","21475286","1789980.5","alone.s.03","2","3","4","3","0","0","0.143494531442354","0.396428571428571"
"78","alone","lone","1858","True","-1","lacking companions or companionship","Of/pertaining/proper to social relations/Solitary/alone/feeling lonely","['alone', 'lone', 'lonely', 'solitary']","Synset('alone.s.02')","adj","03.01.04.06.01|05","27285","1789980.5","alone.s.02","1","2","3","3","1","0","0.722897325279117","-0.1"
"79","alone","lonely","1862","True","-1","lacking companions or companionship","Of/pertaining/proper to social relations/Solitary/alone/feeling lonely/causing feeling of loneliness","['alone', 'lone', 'lonely', 'solitary']","Synset('alone.s.02')","adj","03.01.04.06.01|05.01","93532.5","1789980.5","alone.s.02","1","2","4","3","0","1","0.00244519764044602","0.740659340659341"
"80","alter","neuter","1902","True","1","remove the ovaries of","Farm/Animal-keeping practices general/castrate","['alter', 'neuter', 'spay', 'castrate']","Synset('alter.v.05')","vt","01.07.03.08.01|10","4376.5","219765.5","alter.v.05","2","5","1","5","1","0","0.243952435880052","0.433333333333333"
"81","alterative","remedial","1924","True","1","tending to cure or restore to health","Healing/curing/Pertaining to physiotherapy","['curative', 'healing', 'alterative', 'remedial', 'sanative', 'therapeutic']","Synset('curative.s.01')","adj","01.03.03.04.14","29903","94.5","curative.s.01","2","1","2","1",NA,NA,NA,NA
"82","alternating","alternate","1880","True","-1","occurring by turns first one and then the other","Of/pertaining to part of plant/Of/pertaining to distribution/arrangement, etc./alternating/not alternating","['alternate', 'alternating']","Synset('alternate.s.03')","adj","01.06.10.02|15","46363","34868","alternate.s.03","9","7","2","2","1","1","0.0102451939411279","-0.706293706293706"
"83","ambidextrous","duplicitous","1958","True","1","marked by deliberate deceptiveness especially by pretending one set of feelings and acting under the influence of another","Pertaining to cognition/Shifty, evasive/double-dealing","['ambidextrous', 'deceitful', 'double-dealing', 'duplicitous', 'Janus-faced', 'two-faced', 'double-faced', 'double-tongued']","Synset('ambidextrous.s.02')","adj","02.01.12.08.07.02|02","26","288","ambidextrous.s.02","1","2","1","1",NA,NA,NA,NA
"84","ameliorate","meliorate","1860","True","-1","get better","Yield good produce/result/Improve/make better/improve/grow better","['better', 'improve', 'ameliorate', 'meliorate']","Synset('better.v.03')","vi","02.03.01.03|02","126","9307.5","better.v.03","2","2","2","2",NA,NA,NA,NA
"85","ameliorate","better","1882","True","-1","get better","Yield good produce/result/Improve/make better/improve/grow better","['better', 'improve', 'ameliorate', 'meliorate']","Synset('better.v.03')","vi","02.03.01.03|02","4534487.5","9307.5","better.v.03","7","2","10","2","0","0","0.319138785503305","0.314685314685315"
"86","ameliorate","better","1882","True","-1","to make better","Yield good produce/result/Improve/make better/improve/grow better","['better', 'improve', 'amend', 'ameliorate', 'meliorate']","Synset('better.v.02')","vi","02.03.01.03|02","4534487.5","9307.5","better.v.02","6","1","10","2","0","0","0.319138785503305","0.314685314685315"
"87","ameliorate","meliorate","1860","True","-1","to make better","Yield good produce/result/Improve/make better/improve/grow better","['better', 'improve', 'amend', 'ameliorate', 'meliorate']","Synset('better.v.02')","vi","02.03.01.03|02","126","9307.5","better.v.02","1","1","2","2",NA,NA,NA,NA
"88","amend","better","1882","True","-1","to make better","Yield good produce/result/Improve/make better/improve/grow better","['better', 'improve', 'amend', 'ameliorate', 'meliorate']","Synset('better.v.02')","vi","02.03.01.03|02","4534487.5","56493","better.v.02","6","2","10","3","0","0","0.429918785032884","0.251748251748252"
"89","amend","meliorate","1860","True","-1","to make better","Yield good produce/result/Improve/make better/improve/grow better","['better', 'improve', 'amend', 'ameliorate', 'meliorate']","Synset('better.v.02')","vi","02.03.01.03|02","126","56493","better.v.02","1","2","2","3",NA,NA,NA,NA
"90","amphibious","amphibian","1920","True","1","relating to or characteristic of animals of the class Amphibia","Of/pertaining to vehicle/amphibious","['amphibious', 'amphibian']","Synset('amphibious.a.01')","adj","03.10.03.02.02|11","2118.5","3923","amphibious.a.01","4","1","2","2",NA,NA,NA,NA
