target,ref,t,match,gold,syn_def,definition,syn_words,syn,pos,id
squat,hunker,1850,True,-1,sit on ones heels,Cause to have specific position/arrangement/Crouch/squat/cause to,"['squat', 'crouch', 'scrunch', 'scrunch_up', 'hunker', 'hunker_down']",Synset('squat.v.01'),vt,01.12.05.26.06|01
squat,hunker_down,1850,True,-1,sit on ones heels,Cause to have specific position/arrangement/Crouch/squat/cause to,"['squat', 'crouch', 'scrunch', 'scrunch_up', 'hunker', 'hunker_down']",Synset('squat.v.01'),vt,01.12.05.26.06|01
pass,travel_by,1850,True,-1,move past,Cause to prosper/flourish/Outdo/surpass,"['travel_by', 'pass_by', 'surpass', 'go_past', 'go_by', 'pass']",Synset('travel_by.v.01'),vt,01.15.16.01.01
pass,pass_by,1850,True,-1,move past,Cause to prosper/flourish/Outdo/surpass,"['travel_by', 'pass_by', 'surpass', 'go_past', 'go_by', 'pass']",Synset('travel_by.v.01'),vt,01.15.16.01.01
pass,surpass,1850,True,-1,move past,Cause to prosper/flourish/Outdo/surpass,"['travel_by', 'pass_by', 'surpass', 'go_past', 'go_by', 'pass']",Synset('travel_by.v.01'),vt,01.15.16.01.01
pass,go_past,1850,True,-1,move past,Cause to prosper/flourish/Outdo/surpass,"['travel_by', 'pass_by', 'surpass', 'go_past', 'go_by', 'pass']",Synset('travel_by.v.01'),vt,01.15.16.01.01
pass,go_by,1850,True,-1,move past,Cause to prosper/flourish/Outdo/surpass,"['travel_by', 'pass_by', 'surpass', 'go_past', 'go_by', 'pass']",Synset('travel_by.v.01'),vt,01.15.16.01.01
join,connect,1850,True,-1,be or become joined or united or linked,Relate/connect/Accompany/accompany each other,"['connect', 'link', 'link_up', 'join', 'unite']",Synset('connect.v.03'),vi,01.16.01.12|01
join,link,1850,True,-1,be or become joined or united or linked,Relate/connect/Accompany/accompany each other,"['connect', 'link', 'link_up', 'join', 'unite']",Synset('connect.v.03'),vi,01.16.01.12|01
join,link_up,1850,True,-1,be or become joined or united or linked,Relate/connect/Accompany/accompany each other,"['connect', 'link', 'link_up', 'join', 'unite']",Synset('connect.v.03'),vi,01.16.01.12|01
join,unite,1850,True,-1,be or become joined or united or linked,Relate/connect/Accompany/accompany each other,"['connect', 'link', 'link_up', 'join', 'unite']",Synset('connect.v.03'),vi,01.16.01.12|01
bound,restrict,1850,True,-1,place limits on extent or access,Arrange by kind/Restrict/limit,"['restrict', 'restrain', 'trammel', 'limit', 'bound', 'confine', 'throttle']",Synset('restrict.v.03'),vt,01.16.02.02.02.01
bound,restrain,1850,True,-1,place limits on extent or access,Arrange by kind/Restrict/limit,"['restrict', 'restrain', 'trammel', 'limit', 'bound', 'confine', 'throttle']",Synset('restrict.v.03'),vt,01.16.02.02.02.01
bound,trammel,1850,True,-1,place limits on extent or access,Arrange by kind/Restrict/limit,"['restrict', 'restrain', 'trammel', 'limit', 'bound', 'confine', 'throttle']",Synset('restrict.v.03'),vt,01.16.02.02.02.01
bound,limit,1850,True,-1,place limits on extent or access,Arrange by kind/Restrict/limit,"['restrict', 'restrain', 'trammel', 'limit', 'bound', 'confine', 'throttle']",Synset('restrict.v.03'),vt,01.16.02.02.02.01
bound,confine,1850,True,-1,place limits on extent or access,Arrange by kind/Restrict/limit,"['restrict', 'restrain', 'trammel', 'limit', 'bound', 'confine', 'throttle']",Synset('restrict.v.03'),vt,01.16.02.02.02.01
bound,throttle,1850,True,-1,place limits on extent or access,Arrange by kind/Restrict/limit,"['restrict', 'restrain', 'trammel', 'limit', 'bound', 'confine', 'throttle']",Synset('restrict.v.03'),vt,01.16.02.02.02.01
last,lastly,1850,True,-1,the item at the end,In an orderly manner/Preceding/following in order/last/after all the others/lastly,"['last', 'lastly', 'in_conclusion', 'finally']",Synset('last.r.02'),adv,01.16.03.03.01|04.01
last,in_conclusion,1850,True,-1,the item at the end,In an orderly manner/Preceding/following in order/last/after all the others/lastly,"['last', 'lastly', 'in_conclusion', 'finally']",Synset('last.r.02'),adv,01.16.03.03.01|04.01
last,finally,1850,True,-1,the item at the end,In an orderly manner/Preceding/following in order/last/after all the others/lastly,"['last', 'lastly', 'in_conclusion', 'finally']",Synset('last.r.02'),adv,01.16.03.03.01|04.01
corporate,incorporated,1850,True,-1,organized and maintained as a legal corporation,Whole/Incorporating/including/incorporated/included,"['corporate', 'incorporated']",Synset('corporate.s.04'),adj,01.16.07.05.02|01
disjoint,disassociate,1850,True,-1,part cease or break association with,Form/make into a whole/Separate/disjoin/disunite/disconnect,"['disassociate', 'dissociate', 'divorce', 'disunite', 'disjoint']",Synset('disassociate.v.01'),vt,01.16.07.05.08|05
disjoint,dissociate,1850,True,-1,part cease or break association with,Form/make into a whole/Separate/disjoin/disunite/disconnect,"['disassociate', 'dissociate', 'divorce', 'disunite', 'disjoint']",Synset('disassociate.v.01'),vt,01.16.07.05.08|05
disjoint,divorce,1850,True,-1,part cease or break association with,Form/make into a whole/Separate/disjoin/disunite/disconnect,"['disassociate', 'dissociate', 'divorce', 'disunite', 'disjoint']",Synset('disassociate.v.01'),vt,01.16.07.05.08|05
disjoint,disunite,1850,True,-1,part cease or break association with,Form/make into a whole/Separate/disjoin/disunite/disconnect,"['disassociate', 'dissociate', 'divorce', 'disunite', 'disjoint']",Synset('disassociate.v.01'),vt,01.16.07.05.08|05
disjoint,disjoin,1850,True,-1,make disjoint separated or disconnected undo the joining of,Form/make into a whole/Separate/disjoin/disunite/disconnect,"['disjoin', 'disjoint']",Synset('disjoin.v.01'),vt,01.16.07.05.08|05
disjoint,disjoin,1850,True,-1,become separated disconnected or disjoint,Form/make into a whole/Separate/disjoin/disunite/disconnect,"['disjoin', 'disjoint']",Synset('disjoin.v.02'),vt,01.16.07.05.08|05
bend,crouch,1850,True,-1,bend ones back forward from the waist on down,Esteem/Respect/show respect/bow/kneel/curtsey,"['crouch', 'stoop', 'bend', 'bow']",Synset('crouch.v.01'),vi,02.02.09.02|02
bend,stoop,1850,True,-1,bend ones back forward from the waist on down,Esteem/Respect/show respect/bow/kneel/curtsey,"['crouch', 'stoop', 'bend', 'bow']",Synset('crouch.v.01'),vi,02.02.09.02|02
bend,bow,1850,True,-1,bend ones back forward from the waist on down,Esteem/Respect/show respect/bow/kneel/curtsey,"['crouch', 'stoop', 'bend', 'bow']",Synset('crouch.v.01'),vi,02.02.09.02|02
commove,agitate,1850,True,-1,cause to be agitated excited or roused,Excite,"['agitate', 'rouse', 'turn_on', 'charge', 'commove', 'excite', 'charge_up']",Synset('agitate.v.02'),vt,02.04.08.01
commove,rouse,1850,True,-1,cause to be agitated excited or roused,Excite,"['agitate', 'rouse', 'turn_on', 'charge', 'commove', 'excite', 'charge_up']",Synset('agitate.v.02'),vt,02.04.08.01
commove,turn_on,1850,True,-1,cause to be agitated excited or roused,Excite,"['agitate', 'rouse', 'turn_on', 'charge', 'commove', 'excite', 'charge_up']",Synset('agitate.v.02'),vt,02.04.08.01
commove,charge,1850,True,-1,cause to be agitated excited or roused,Excite,"['agitate', 'rouse', 'turn_on', 'charge', 'commove', 'excite', 'charge_up']",Synset('agitate.v.02'),vt,02.04.08.01
commove,excite,1850,True,-1,cause to be agitated excited or roused,Excite,"['agitate', 'rouse', 'turn_on', 'charge', 'commove', 'excite', 'charge_up']",Synset('agitate.v.02'),vt,02.04.08.01
commove,charge_up,1850,True,-1,cause to be agitated excited or roused,Excite,"['agitate', 'rouse', 'turn_on', 'charge', 'commove', 'excite', 'charge_up']",Synset('agitate.v.02'),vt,02.04.08.01
brainish,hotheaded,1850,True,-1,characterized by undue haste and lack of thought or deliberation brainish is archaic,Excited/Impetuous,"['hotheaded', 'impulsive', 'impetuous', 'madcap', 'tearaway', 'brainish']",Synset('hotheaded.s.02'),adj,02.04.08.08.02
brainish,impulsive,1850,True,-1,characterized by undue haste and lack of thought or deliberation brainish is archaic,Excited/Impetuous,"['hotheaded', 'impulsive', 'impetuous', 'madcap', 'tearaway', 'brainish']",Synset('hotheaded.s.02'),adj,02.04.08.08.02
brainish,impetuous,1850,True,-1,characterized by undue haste and lack of thought or deliberation brainish is archaic,Excited/Impetuous,"['hotheaded', 'impulsive', 'impetuous', 'madcap', 'tearaway', 'brainish']",Synset('hotheaded.s.02'),adj,02.04.08.08.02
brainish,madcap,1850,True,-1,characterized by undue haste and lack of thought or deliberation brainish is archaic,Excited/Impetuous,"['hotheaded', 'impulsive', 'impetuous', 'madcap', 'tearaway', 'brainish']",Synset('hotheaded.s.02'),adj,02.04.08.08.02
brainish,tearaway,1850,True,-1,characterized by undue haste and lack of thought or deliberation brainish is archaic,Excited/Impetuous,"['hotheaded', 'impulsive', 'impetuous', 'madcap', 'tearaway', 'brainish']",Synset('hotheaded.s.02'),adj,02.04.08.08.02
fain,disposed,1850,True,-1,having made preparations,Inclined/disposed/favourably,"['disposed', 'fain', 'inclined', 'prepared']",Synset('disposed.s.01'),adj,02.05.03|01
fain,inclined,1850,True,-1,having made preparations,Inclined/disposed/favourably,"['disposed', 'fain', 'inclined', 'prepared']",Synset('disposed.s.01'),adj,02.05.03|01
fain,prepared,1850,True,-1,having made preparations,Inclined/disposed/favourably,"['disposed', 'fain', 'inclined', 'prepared']",Synset('disposed.s.01'),adj,02.05.03|01
catch,capture,1850,True,-1,attract cause to be enamored,Motivate/Attract/allure/entice/fascinate,"['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']",Synset('capture.v.02'),vt,02.05.06.02|07
catch,enamour,1850,True,-1,attract cause to be enamored,Motivate/Attract/allure/entice/fascinate,"['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']",Synset('capture.v.02'),vt,02.05.06.02|07
catch,trance,1850,True,-1,attract cause to be enamored,Motivate/Attract/allure/entice/fascinate,"['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']",Synset('capture.v.02'),vt,02.05.06.02|07
catch,becharm,1850,True,-1,attract cause to be enamored,Motivate/Attract/allure/entice/fascinate,"['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']",Synset('capture.v.02'),vt,02.05.06.02|07
catch,enamor,1850,True,-1,attract cause to be enamored,Motivate/Attract/allure/entice/fascinate,"['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']",Synset('capture.v.02'),vt,02.05.06.02|07
catch,captivate,1850,True,-1,attract cause to be enamored,Motivate/Attract/allure/entice/fascinate,"['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']",Synset('capture.v.02'),vt,02.05.06.02|07
catch,beguile,1850,True,-1,attract cause to be enamored,Motivate/Attract/allure/entice/fascinate,"['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']",Synset('capture.v.02'),vt,02.05.06.02|07
catch,charm,1850,True,-1,attract cause to be enamored,Motivate/Attract/allure/entice/fascinate,"['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']",Synset('capture.v.02'),vt,02.05.06.02|07
catch,fascinate,1850,True,-1,attract cause to be enamored,Motivate/Attract/allure/entice/fascinate,"['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']",Synset('capture.v.02'),vt,02.05.06.02|07
catch,bewitch,1850,True,-1,attract cause to be enamored,Motivate/Attract/allure/entice/fascinate,"['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']",Synset('capture.v.02'),vt,02.05.06.02|07
catch,entrance,1850,True,-1,attract cause to be enamored,Motivate/Attract/allure/entice/fascinate,"['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']",Synset('capture.v.02'),vt,02.05.06.02|07
catch,enchant,1850,True,-1,attract cause to be enamored,Motivate/Attract/allure/entice/fascinate,"['capture', 'enamour', 'trance', 'catch', 'becharm', 'enamor', 'captivate', 'beguile', 'charm', 'fascinate', 'bewitch', 'entrance', 'enchant']",Synset('capture.v.02'),vt,02.05.06.02|07
rifle,plunder,1850,True,-1,steal goods take as spoils,Take/Despoil/prey upon/make a spoil of (something),"['plunder', 'despoil', 'loot', 'reave', 'strip', 'rifle', 'ransack', 'pillage', 'foray']",Synset('plunder.v.03'),vt,02.06.13.05.05.04|01
rifle,despoil,1850,True,-1,steal goods take as spoils,Take/Despoil/prey upon/make a spoil of (something),"['plunder', 'despoil', 'loot', 'reave', 'strip', 'rifle', 'ransack', 'pillage', 'foray']",Synset('plunder.v.03'),vt,02.06.13.05.05.04|01
rifle,loot,1850,True,-1,steal goods take as spoils,Take/Despoil/prey upon/make a spoil of (something),"['plunder', 'despoil', 'loot', 'reave', 'strip', 'rifle', 'ransack', 'pillage', 'foray']",Synset('plunder.v.03'),vt,02.06.13.05.05.04|01
rifle,reave,1850,True,-1,steal goods take as spoils,Take/Despoil/prey upon/make a spoil of (something),"['plunder', 'despoil', 'loot', 'reave', 'strip', 'rifle', 'ransack', 'pillage', 'foray']",Synset('plunder.v.03'),vt,02.06.13.05.05.04|01
rifle,strip,1850,True,-1,steal goods take as spoils,Take/Despoil/prey upon/make a spoil of (something),"['plunder', 'despoil', 'loot', 'reave', 'strip', 'rifle', 'ransack', 'pillage', 'foray']",Synset('plunder.v.03'),vt,02.06.13.05.05.04|01
rifle,ransack,1850,True,-1,steal goods take as spoils,Take/Despoil/prey upon/make a spoil of (something),"['plunder', 'despoil', 'loot', 'reave', 'strip', 'rifle', 'ransack', 'pillage', 'foray']",Synset('plunder.v.03'),vt,02.06.13.05.05.04|01
rifle,pillage,1850,True,-1,steal goods take as spoils,Take/Despoil/prey upon/make a spoil of (something),"['plunder', 'despoil', 'loot', 'reave', 'strip', 'rifle', 'ransack', 'pillage', 'foray']",Synset('plunder.v.03'),vt,02.06.13.05.05.04|01
rifle,foray,1850,True,-1,steal goods take as spoils,Take/Despoil/prey upon/make a spoil of (something),"['plunder', 'despoil', 'loot', 'reave', 'strip', 'rifle', 'ransack', 'pillage', 'foray']",Synset('plunder.v.03'),vt,02.06.13.05.05.04|01
bear,give_birth,1850,True,-1,cause to be born,Give a name to/have/bear (name),"['give_birth', 'deliver', 'bear', 'birth', 'have']",Synset('give_birth.v.01'),vt,02.07.05|27
bear,deliver,1850,True,-1,cause to be born,Give a name to/have/bear (name),"['give_birth', 'deliver', 'bear', 'birth', 'have']",Synset('give_birth.v.01'),vt,02.07.05|27
bear,birth,1850,True,-1,cause to be born,Give a name to/have/bear (name),"['give_birth', 'deliver', 'bear', 'birth', 'have']",Synset('give_birth.v.01'),vt,02.07.05|27
bear,have,1850,True,-1,cause to be born,Give a name to/have/bear (name),"['give_birth', 'deliver', 'bear', 'birth', 'have']",Synset('give_birth.v.01'),vt,02.07.05|27
pretend,profess,1850,True,-1,state insincerely,State/declare/set forth/Assert without proof/allege/claim/maintain/profess/to have,"['profess', 'pretend']",Synset('profess.v.07'),vt,02.07.06.08|06.01
conduct,lead,1850,True,-1,take somebody somewhere,Be in control/guide,"['lead', 'take', 'direct', 'conduct', 'guide']",Synset('lead.v.01'),vi,03.04.03|05
conduct,take,1850,True,-1,take somebody somewhere,Be in control/guide,"['lead', 'take', 'direct', 'conduct', 'guide']",Synset('lead.v.01'),vi,03.04.03|05
conduct,direct,1850,True,-1,take somebody somewhere,Be in control/guide,"['lead', 'take', 'direct', 'conduct', 'guide']",Synset('lead.v.01'),vi,03.04.03|05
conduct,guide,1850,True,-1,take somebody somewhere,Be in control/guide,"['lead', 'take', 'direct', 'conduct', 'guide']",Synset('lead.v.01'),vi,03.04.03|05
bound,restrict,1850,True,-1,place limits on extent or access,Be subject to/Restrict/limit,"['restrict', 'restrain', 'trammel', 'limit', 'bound', 'confine', 'throttle']",Synset('restrict.v.03'),vt,03.04.09.05.02
bound,restrain,1850,True,-1,place limits on extent or access,Be subject to/Restrict/limit,"['restrict', 'restrain', 'trammel', 'limit', 'bound', 'confine', 'throttle']",Synset('restrict.v.03'),vt,03.04.09.05.02
bound,trammel,1850,True,-1,place limits on extent or access,Be subject to/Restrict/limit,"['restrict', 'restrain', 'trammel', 'limit', 'bound', 'confine', 'throttle']",Synset('restrict.v.03'),vt,03.04.09.05.02
bound,limit,1850,True,-1,place limits on extent or access,Be subject to/Restrict/limit,"['restrict', 'restrain', 'trammel', 'limit', 'bound', 'confine', 'throttle']",Synset('restrict.v.03'),vt,03.04.09.05.02
bound,confine,1850,True,-1,place limits on extent or access,Be subject to/Restrict/limit,"['restrict', 'restrain', 'trammel', 'limit', 'bound', 'confine', 'throttle']",Synset('restrict.v.03'),vt,03.04.09.05.02
bound,throttle,1850,True,-1,place limits on extent or access,Be subject to/Restrict/limit,"['restrict', 'restrain', 'trammel', 'limit', 'bound', 'confine', 'throttle']",Synset('restrict.v.03'),vt,03.04.09.05.02
self-giving,self-denying,1850,True,-1,willing to deprive yourself,Virtuous/morally good/Unselfish/self-sacrificing,"['self-denying', 'self-giving', 'self-sacrificing']",Synset('self-denying.s.01'),adj,03.06.04.01.01|04
self-giving,self-sacrificing,1850,True,-1,willing to deprive yourself,Virtuous/morally good/Unselfish/self-sacrificing,"['self-denying', 'self-giving', 'self-sacrificing']",Synset('self-denying.s.01'),adj,03.06.04.01.01|04
oil,anoint,1850,True,-1,administer an oil or ointment to often in a religious ceremony of blessing,Worship/Anoint/to an office,"['anoint', 'inunct', 'oil', 'anele', 'embrocate']",Synset('anoint.v.02'),vt,03.08.04.08.06|01
oil,inunct,1850,True,-1,administer an oil or ointment to often in a religious ceremony of blessing,Worship/Anoint/to an office,"['anoint', 'inunct', 'oil', 'anele', 'embrocate']",Synset('anoint.v.02'),vt,03.08.04.08.06|01
oil,anele,1850,True,-1,administer an oil or ointment to often in a religious ceremony of blessing,Worship/Anoint/to an office,"['anoint', 'inunct', 'oil', 'anele', 'embrocate']",Synset('anoint.v.02'),vt,03.08.04.08.06|01
oil,embrocate,1850,True,-1,administer an oil or ointment to often in a religious ceremony of blessing,Worship/Anoint/to an office,"['anoint', 'inunct', 'oil', 'anele', 'embrocate']",Synset('anoint.v.02'),vt,03.08.04.08.06|01
satiate,sate,1852,True,-1,fill to satisfaction,Be food for/Feed/nourish/feed well/fill,"['satiate', 'sate', 'replete', 'fill']",Synset('satiate.v.01'),vt,01.07.01.21|02
satiate,replete,1852,True,-1,fill to satisfaction,Be food for/Feed/nourish/feed well/fill,"['satiate', 'sate', 'replete', 'fill']",Synset('satiate.v.01'),vt,01.07.01.21|02
satiate,fill,1852,True,-1,fill to satisfaction,Be food for/Feed/nourish/feed well/fill,"['satiate', 'sate', 'replete', 'fill']",Synset('satiate.v.01'),vt,01.07.01.21|02
reclaim,domesticate,1852,True,-1,overcome the wildness of make docile and tractable,Farm/Animal-keeping practices general/tame/train,"['domesticate', 'domesticize', 'domesticise', 'reclaim', 'tame']",Synset('domesticate.v.02'),vt,01.07.03.08.01|01
reclaim,domesticize,1852,True,-1,overcome the wildness of make docile and tractable,Farm/Animal-keeping practices general/tame/train,"['domesticate', 'domesticize', 'domesticise', 'reclaim', 'tame']",Synset('domesticate.v.02'),vt,01.07.03.08.01|01
reclaim,domesticise,1852,True,-1,overcome the wildness of make docile and tractable,Farm/Animal-keeping practices general/tame/train,"['domesticate', 'domesticize', 'domesticise', 'reclaim', 'tame']",Synset('domesticate.v.02'),vt,01.07.03.08.01|01
reclaim,tame,1852,True,-1,overcome the wildness of make docile and tractable,Farm/Animal-keeping practices general/tame/train,"['domesticate', 'domesticize', 'domesticise', 'reclaim', 'tame']",Synset('domesticate.v.02'),vt,01.07.03.08.01|01
snap,crack,1852,True,-1,break suddenly and abruptly as under tension,Hear/Sharp/hard sound/crack/snap/strike at with,"['snap', 'crack']",Synset('snap.v.03'),vi,01.09.09.02.03.06|01.03
snap,crack,1852,True,-1,make a sharp sound,Hear/Sharp/hard sound/crack/snap/strike at with,"['snap', 'crack']",Synset('snap.v.06'),vi,01.09.09.02.03.06|01.03
begrime,dirty,1852,True,-1,make soiled filthy or dirty,Dirty/soil with specific kinds of dirt/begrime,"['dirty', 'soil', 'begrime', 'grime', 'colly', 'bemire']",Synset('dirty.v.01'),vt,01.09.10.06.03.02|03
begrime,soil,1852,True,-1,make soiled filthy or dirty,Dirty/soil with specific kinds of dirt/begrime,"['dirty', 'soil', 'begrime', 'grime', 'colly', 'bemire']",Synset('dirty.v.01'),vt,01.09.10.06.03.02|03
begrime,grime,1852,True,-1,make soiled filthy or dirty,Dirty/soil with specific kinds of dirt/begrime,"['dirty', 'soil', 'begrime', 'grime', 'colly', 'bemire']",Synset('dirty.v.01'),vt,01.09.10.06.03.02|03
begrime,colly,1852,True,-1,make soiled filthy or dirty,Dirty/soil with specific kinds of dirt/begrime,"['dirty', 'soil', 'begrime', 'grime', 'colly', 'bemire']",Synset('dirty.v.01'),vt,01.09.10.06.03.02|03
begrime,bemire,1852,True,-1,make soiled filthy or dirty,Dirty/soil with specific kinds of dirt/begrime,"['dirty', 'soil', 'begrime', 'grime', 'colly', 'bemire']",Synset('dirty.v.01'),vt,01.09.10.06.03.02|03
causeless,fortuitous,1852,True,-1,having no cause or apparent cause,Of/relating to a cause/causes/Chance/fortuitous/without cause/without reason/foundation,"['causeless', 'fortuitous', 'uncaused']",Synset('causeless.s.02'),adj,01.11.03.07|06.01
causeless,uncaused,1852,True,-1,having no cause or apparent cause,Of/relating to a cause/causes/Chance/fortuitous/without cause/without reason/foundation,"['causeless', 'fortuitous', 'uncaused']",Synset('causeless.s.02'),adj,01.11.03.07|06.01
instantly,immediately,1852,True,-1,without delay or hesitation with no time intervening,Immediately/as soon as,"['immediately', 'instantly', 'straightaway', 'straight_off', 'directly', 'now', 'right_away', 'at_once', 'forthwith', 'like_a_shot']",Synset('immediately.r.01'),adv,01.13.08.02|02
instantly,straightaway,1852,True,-1,without delay or hesitation with no time intervening,Immediately/as soon as,"['immediately', 'instantly', 'straightaway', 'straight_off', 'directly', 'now', 'right_away', 'at_once', 'forthwith', 'like_a_shot']",Synset('immediately.r.01'),adv,01.13.08.02|02
instantly,straight_off,1852,True,-1,without delay or hesitation with no time intervening,Immediately/as soon as,"['immediately', 'instantly', 'straightaway', 'straight_off', 'directly', 'now', 'right_away', 'at_once', 'forthwith', 'like_a_shot']",Synset('immediately.r.01'),adv,01.13.08.02|02
instantly,directly,1852,True,-1,without delay or hesitation with no time intervening,Immediately/as soon as,"['immediately', 'instantly', 'straightaway', 'straight_off', 'directly', 'now', 'right_away', 'at_once', 'forthwith', 'like_a_shot']",Synset('immediately.r.01'),adv,01.13.08.02|02
